46.889;11.981;0.0
46.889;11.994;1.0
46.889;12.007;1.0
46.889;12.021;2.0
46.890;12.034;2.0
46.890;12.047;4.0
46.890;12.060;2.0
46.890;12.073;2.0
46.890;12.086;1.0
46.890;12.099;1.0
46.891;12.112;1.0
46.891;12.126;0.0
46.891;12.139;0.0
46.891;12.152;0.0
46.891;12.165;0.0
46.891;12.178;0.0
46.891;12.191;0.0
46.891;12.204;0.0
46.892;12.217;0.0
46.892;12.231;1.0
46.892;12.244;3.0
46.892;12.257;1.0
46.892;12.270;0.0
46.892;12.283;0.0
46.892;12.296;0.0
46.892;12.309;0.0
46.893;12.323;0.0
46.893;12.336;0.0
46.893;12.349;0.0
46.893;12.362;1.0
46.893;12.375;1.0
46.893;12.388;1.0
46.893;12.401;1.0
46.893;12.414;3.0
46.893;12.428;6.0
46.894;12.441;8.0
46.894;12.454;5.0
46.894;12.467;8.0
46.894;12.480;19.0
46.894;12.493;18.0
46.894;12.506;16.0
46.894;12.519;20.0
46.894;12.533;20.0
46.894;12.546;17.0
46.894;12.559;19.0
46.895;12.572;29.0
46.895;12.585;23.0
46.895;12.598;12.0
46.895;12.611;11.0
46.895;12.624;9.0
46.895;12.638;6.0
46.895;12.651;5.0
46.895;12.664;7.0
46.895;12.677;9.0
46.895;12.690;3.0
46.895;12.703;2.0
46.895;12.716;9.0
46.895;12.729;9.0
46.896;12.743;11.0
46.896;12.756;12.0
46.896;12.769;15.0
46.896;12.782;15.0
46.896;12.795;15.0
46.896;12.808;14.0
46.896;12.821;14.0
46.896;12.834;11.0
46.896;12.848;12.0
46.896;12.861;8.0
46.896;12.874;6.0
46.896;12.887;4.0
46.896;12.900;2.0
46.896;12.913;1.0
46.896;12.926;2.0
46.896;12.939;2.0
46.896;12.953;2.0
46.896;12.966;2.0
46.897;12.979;2.0
46.897;12.992;1.0
46.897;13.005;1.0
46.897;13.018;1.0
46.897;13.031;0.0
46.897;13.045;0.0
46.897;13.058;0.0
46.897;13.071;0.0
46.897;13.084;0.0
46.897;13.097;0.0
46.897;13.110;1.0
46.897;13.123;0.0
46.897;13.136;0.0
46.897;13.150;0.0
46.897;13.163;0.0
46.897;13.176;0.0
46.897;13.189;0.0
46.897;13.202;0.0
46.897;13.215;0.0
46.897;13.228;0.0
46.897;13.241;0.0
46.897;13.255;0.0
46.897;13.268;0.0
46.897;13.281;0.0
46.897;13.294;0.0
46.897;13.307;0.0
46.897;13.320;0.0
46.897;13.333;0.0
46.897;13.346;0.0
46.897;13.360;0.0
46.897;13.373;0.0
46.897;13.386;0.0
46.897;13.399;0.0
46.897;13.412;0.0
46.897;13.425;0.0
46.897;13.438;0.0
46.897;13.451;0.0
46.897;13.465;0.0
46.897;13.478;0.0
46.897;13.491;0.0
46.897;13.504;0.0
46.897;13.517;0.0
46.897;13.530;0.0
46.897;13.543;0.0
